CRASH_DT,Latitude,Longitude,cloudiness,temperature,feels_like,pressure,humidity,wind_deg,wind_speed,rain,weather_desc,LOCATION,CRASH_DATE,DOW,Hour,zipcode
1647907200,29.658049291,-81.697966679,13.0,293.1,292.67,1013.0,58.0,90.0,2.28,0.0,few clouds,Florida,2022-03-22 00:00:00,1,0,32177.0
1642118400,29.658049291,-80.173824418,,,,,,,,,,Florida,2022-01-14 00:00:00,4,0,
1641945600,29.658049291,-80.173219594,,,,,,,,,,Florida,2022-01-12 00:00:00,2,0,
1651881600,29.658049291,-80.163477923,,,,,,,,,,Florida,2022-05-07 00:00:00,5,0,
1649030400,29.658049291,-80.144489958,,,,,,,,,,Florida,2022-04-04 00:00:00,0,0,
1652572800,29.658049291,-80.252030551,,,,,,,,,,Florida,2022-05-15 00:00:00,6,0,
1649548800,29.658049291,-80.056023,,,,,,,,,,Florida,2022-04-10 00:00:00,6,0,
1652486400,29.658049291,-80.207989133,,,,,,,,,,Florida,2022-05-14 00:00:00,5,0,
1651968000,29.658049291,-80.251086399,,,,,,,,,,Florida,2022-05-08 00:00:00,6,0,
1651190400,29.658049291,-81.78619607,31.0,295.25,295.0,1017.0,57.0,69.0,4.46,0.0,scattered clouds,Florida,2022-04-29 00:00:00,4,0,32147.0
1651276800,29.658049291,-82.376644422,0.0,296.66,296.63,1018.0,60.0,90.0,4.12,0.0,clear sky,Florida,2022-04-30 00:00:00,5,0,32607.0
1650844800,29.658049291,-82.131259347,50.0,297.32,297.78,1020.0,76.0,97.0,4.2,0.0,scattered clouds,Florida,2022-04-25 00:00:00,0,0,32631.0
1650153600,29.658049291,-82.096516259,45.0,299.35,299.35,1015.0,76.0,102.0,2.51,0.0,scattered clouds,Florida,2022-04-17 00:00:00,6,0,32631.0
1651190400,29.658049291,-81.285355795,2.0,295.95,295.9,1017.0,62.0,75.0,4.92,0.0,clear sky,Florida,2022-04-29 00:00:00,4,0,
1651795200,29.658049291,-82.182094092,59.0,302.11,302.2,1013.0,45.0,228.0,1.52,0.0,broken clouds,Florida,2022-05-06 00:00:00,4,0,
1651449600,29.658049291,-82.092006532,80.0,296.0,296.38,1017.0,78.0,109.0,2.87,0.53,light rain,Florida,2022-05-02 00:00:00,0,0,32631.0
1650326400,29.658049291,-82.333003406,39.0,298.07,298.29,1013.0,64.0,335.0,3.58,0.0,scattered clouds,Florida,2022-04-19 00:00:00,1,0,32601.0
1650240000,29.658049291,-82.248749524,20.0,294.11,294.48,1016.0,85.0,130.0,2.06,0.0,few clouds,Florida,2022-04-18 00:00:00,0,0,32641.0
1650240000,29.658049291,-82.401911916,20.0,294.11,294.48,1016.0,85.0,130.0,2.06,0.0,few clouds,Florida,2022-04-18 00:00:00,0,0,32607.0
1652313600,29.658049291,-80.482078094,,,,,,,,,,Florida,2022-05-12 00:00:00,3,0,
1649721600,29.658049291,-80.323934891,,,,,,,,,,Florida,2022-04-12 00:00:00,1,0,
1649376000,29.658049291,-80.305716193,,,,,,,,,,Florida,2022-04-08 00:00:00,4,0,
